Filename,Predicted Pixel Area,Fat mass,Fat free mass
20052118_AB4_R.jpeg,2700,0.3263,2.042
21052318_A1_R.jpeg,2036,0.0911,2.4276
25061918_AB1_R.jpeg,1035,0.059,1.5941
25061918_AB2_R.jpeg,3299,0.059,1.5941
26061918_AB3_R.jpeg,2431,0.0808,1.6738
26061918_AB4_R.jpeg,2247,0.0808,1.6738
34080218_AB1_R.jpeg,2276,0.1815,1.6665
34080218_AB2_R.jpeg,2299,0.1815,1.6665
37082218_AB2_R.jpeg,4559,0.1739,2.3418
37082218_AB3_R.jpeg,2948,0.1739,2.3418
42091218_AB2_R.jpeg,2370,0.3046,1.6833
47092018_AB1_R.jpeg,2797,0.2176,2.1477
48092018_AB2_R.jpeg,2232,0.2659,1.7099
52120618_AB2_R.jpeg,563,0.0426,1.7663
54020819_AB3_R.jpeg,2319,0.2073,2.5238
66061919_AB1_R.jpeg,3488,0.2318,2.1826
66061919_AB4_R.jpeg,1280,0.2318,2.1826
c_01111517_AB3_R.jpeg,3032,0.1466,2.0565
c_11030618_AB1_R.jpeg,2929,0.1409,2.1584
c_12032118_AB1_R.jpeg,3465,0.3481,1.9309
c_12032118_AB2_R.jpeg,2950,0.3481,1.9309
c_15041918_AB3_R.jpeg,3478,0.1956,1.7668
c_17042418_AB1_R.jpeg,3077,0.188,1.9402
c_17042418_AB2_R.jpeg,3231,0.188,1.9402
c_17042418_AB3_R.jpeg,2524,0.188,1.9402
c_23061118_AB3_R.jpeg,5624,0.0796,1.5841
c_23061118_AB7_R.jpeg,2843,0.0796,1.5841
c_32072318_AB2_R.jpeg,4357,0.1792,1.8608
c_35080318_AB2_R.jpeg,6128,0.1588,1.3309
c_35080318_AB5_R.jpeg,4854,0.1588,1.3309
c_36082218_AB2_R.jpeg,3334,0.1326,2.0811
c_36082218_AB3_R.jpeg,3553,0.1326,2.0811
c_36082218_AB4_R.jpeg,3051,0.1326,2.0811
c_44091318_AB1_R.jpeg,3038,0.3105,1.5864
c_44091318_AB4_R.jpeg,521,0.3105,1.5864
c_45092718_AB4_R.jpeg,3376,0.3361,2.2093
c_50102518_AB2_R.jpeg,2921,0.1713,2.1493
c_55022619_AB1_R.jpeg,3923,0.263,2.8285
c_57032919_AB2_R.jpeg,1274,0.2668,2.3958
c_58041919_AB2_R.jpeg,3639,0.1217,2.4855
c_58041919_AB3_R.jpeg,3308,0.1217,2.4855
c_59042419_AB4_R.jpeg,3561,0.311,2.4277
c_65050619_AB3_R.jpeg,4174,0.2209,2.0833
c_67062119_AB3_R.jpeg,2891,0.3214,2.5064
capture_1_2024-02-29T15-22-59.jpeg,841,0.5018,2.9157
capture_1_2024-06-03T08-49-32.jpeg,994,0.1437,1.7287
capture_10_2024-03-04T10-30-17.jpeg,1376,0.3932,2.9986
capture_12_2024-04-29T03-38-27.jpeg,608,0.2851,2.1887
capture_2_2024-02-29T15-23-08.jpeg,515,0.5018,2.9157
capture_3_2024-03-01T10-11-05.jpeg,1714,0.3894,3.4431
capture_4_2024-03-01T16-06-34.jpeg,909,0.0354,3.3618
capture_4_2024-07-01T03-25-18.jpeg,1383,0.1338,1.3795
capture_5_2023-11-02T10-08-57.jpeg,1370,0.3107,2.7707
capture_6_2024-02-20T08-35-07.jpeg,2403,0.0801,1.4419
capture_8_2024-04-16T04-18-04.jpeg,1290,0.3724,2.37297
capture_8_2024-07-01T04-32-37.jpeg,1664,0.3318,3.2569
